name,developer,publisher,popular_tags,game_details,genre
American Conquest: Fight Back,GSC Game World,"GSC World Publishing,GSC World Publishing","Strategy,RTS,Historical,Singleplayer",Single-player,Strategy
Cossacks II: Battle for Europe,GSC Game World,"GSC World Publishing,GSC World Publishing","Strategy,RTS,Historical","Single-player,Multi-player,Online Multi-Player,Local Multi-Player",Strategy
Kidnapped,"Deceptive Games,Gavin Powell","Deceptive Games,Deceptive Games","Adventure,Indie,Action,Horror,FPS,Psychological Horror,Survival Horror,Sci-fi,Demons,Early Access,Story Rich,Great Soundtrack","Single-player,Steam Achievements,Steam Trading Cards","Action,Adventure,Indie"
Fort Defense,Creobit,"8Floor,8Floor","Tower Defense,Casual,Strategy,Indie,Adventure","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Indie,Strategy"
Major Stryker,3D Realms (Apogee Software),"3D Realms (Apogee Software),3D Realms (Apogee Software)","Action,Shoot 'Em Up,Classic","Single-player,Partial Controller Support",Action
Dead Bits,Microblast Games,"Microblast Games,Microblast Games","Indie,Action,FPS,Casual,Shooter,First-Person,Great Soundtrack,Zombies,Singleplayer,Voxel,Horror,Multiplayer,Pixel Graphics,Difficult,Funny,Adventure","Single-player,Steam Trading Cards","Action,Casual,Indie"
Survivor Squad: Gauntlets,Endless Loop Studios,"Endless Loop Studios,Endless Loop Studios","Strategy,Action,Indie,Top-Down,Zombies,Survival,Post-apocalyptic,Singleplayer,Real Time Tactics,Real-Time with Pause","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action,Indie,Strategy"
Ghost Encounters: Deadwood - Collector's Edition,Anarchy Enterprises,"Anarchy Enterprises,Anarchy Enterprises","Adventure,Casual,Hidden Object,Puzzle,Point & Click,Singleplayer,Mystery,Female Protagonist,Indie,Story Rich,Exploration,Masterpiece,Great Soundtrack,Classic","Single-player,Steam Trading Cards","Adventure,Casual"
Broken Sword 4 - the Angel of Death,Sumo Digital Ltd,"Revolution Software Ltd,Revolution Software Ltd","Adventure,Mystery,Point & Click,Singleplayer",Single-player,Adventure
Slam Bolt Scrappers,Fire Hose Games,"Fire Hose Games,Fire Hose Games","Action,Indie,Strategy,Local Co-Op,Local Multiplayer,4 Player Local,Competitive,2D Fighter","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards","Action,Indie,Strategy"
MirrorMoon EP,Santa Ragione,"Santa Ragione,Santa Ragione","Indie,Exploration,Puzzle,Abstract,Adventure,Space,First-Person,Sci-fi,Open World,Walking Simulator,Procedural Generation,Minimalist,Surreal,Great Soundtrack,Colorful,Experimental,Cult Classic","Single-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Partial Controller Support","Adventure,Indie"
Miner Wars Arena,Keen Software House,"Keen Software House,Keen Software House","Action,Indie",Single-player,"Action,Indie"
Hare In The Hat,RunServer,"RunServer,RunServer","Adventure,Indie,Puzzle,Casual,Mouse only,Singleplayer,Hand-drawn,Cartoony,Family Friendly,Point & Click,Cartoon,Relaxing","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Indie"
Perpetuum,Avatar Creations,"Gamestorm Ltd,Gamestorm Ltd","Massively Multiplayer,Mechs,RPG,Sandbox,Robots,Sci-fi,Indie,Open World,MMORPG,Multiplayer,PvP,Action","Multi-player,MMO,Steam Achievements,Steam Trading Cards","Indie,Massively Multiplayer,RPG"
Amerzone: The Explorer’s Legacy,Microids,"Microids,Microids","Adventure,Casual,Point & Click,First-Person",Single-player,"Adventure,Casual"
Alpha Prime,Black Element,"Bohemia Interactive,Bohemia Interactive","Action,FPS,Sci-fi,Shooter,First-Person,Singleplayer,Space,Difficult",Single-player,Action
Greed: Black Border,"Headup Games,Clockstone","Headup Games,Headup Games","Action,RPG,Sci-fi,Action RPG,Co-op,Indie,Isometric,Singleplayer,Loot","Single-player,Co-op","Action,RPG"
Twin Sector,DnS Development,"DnS Development,DnS Development","Action,Adventure,Puzzle,Female Protagonist,First-Person,Story Rich,FPS,Masterpiece",Single-player,"Action,Adventure"
Call of Cthulhu®: Dark Corners of the Earth,Headfirst Productions,"Bethesda Softworks,Bethesda Softworks","Horror,Lovecraftian,First-Person,Survival Horror,Atmospheric,Based On A Novel,Adventure,Stealth,FPS,Singleplayer,Story Rich,Action,Classic,Shooter,Survival,Masterpiece,Psychological Horror,Dark,Difficult,Gore",Single-player,
Wildlife Park 2 - Horses,b-alive gmbh,"b-alive gmbh,b-alive gmbh","Simulation,Strategy,Indie,Casual,Horses,Realistic,Open World,Building,Atmospheric,Replay Value,Adventure,Resource Management,Cute,Family Friendly,Female Protagonist,Economy,Management,Sandbox,Survival Horror",Single-player,"Casual,Indie,Simulation,Strategy"
Rogue's Tale,Epixx.org,"Epixx.org,Epixx.org","Rogue-like,RPG,Indie,Turn-Based,Adventure,Difficult","Single-player,Steam Achievements,Partial Controller Support,Includes level editor","Indie,RPG"
Royal Defense,"Good Games,Creobit","8Floor,8Floor","Strategy,Indie,Casual,Tower Defense","Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie,Strategy"
Thirty Flights of Loving,Blendo Games,"Blendo Games,Blendo Games","Short,Indie,Adventure,First-Person,Experimental,Great Soundtrack,Casual,Experience,Walking Simulator,Singleplayer,Story Rich,Exploration,Atmospheric,Surreal","Single-player,Commentary available","Adventure,Casual,Indie"
World War III: Black Gold,Reality Pump,"Topware Interactive,Topware Interactive","Strategy,RTS,War,Multiplayer","Single-player,Multi-player,Online Multi-Player,Online Co-op,Cross-Platform Multiplayer,Steam Trading Cards,Steam Cloud,Includes level editor",Strategy
Lunch Truck Tycoon,"Diggidy.net, LLC","Diggidy.net, LLC,Diggidy.net, LLC","Indie,Simulation,Management",Single-player,"Indie,Simulation"
Guild Commander,GTGD,"GTGD,GTGD","Simulation,Strategy,Indie,Management","Single-player,Steam Achievements","Indie,Simulation,Strategy"
Shattered Planet,Kitfox Games,"Kitfox Games,Kitfox Games","RPG,Indie,Strategy,Rogue-like,Turn-Based,Sci-fi,Singleplayer,Isometric,Space","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,RPG,Strategy"
Haunted House™,ImagineEngline,"Atari,Atari",Adventure,"Single-player,Partial Controller Support",Adventure
Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,Rumpus,"Deck13 ,Deck13 ","Adventure,Casual,Point & Click,Indie,Comedy,2D,Funny,Story Rich,Mystery,Singleplayer,Detective,Classic,Steampunk",Single-player,"Adventure,Casual,Indie"
Mare Nostrum,Sandstorm Productions,"Tripwire Interactive,Tripwire Interactive","Action,World War II,Mod,FPS,Multiplayer,Realistic,Free to Play","Multi-player,Mods,Steam Achievements",Action
Bird Assassin,Social Loner Studios,"Social Loner Studios,Social Loner Studios","Action,Adventure,Shooter","Single-player,Partial Controller Support","Action,Adventure"
Khet 2.0,BlueLine Games,"BlueLine Games,BlueLine Games","Strategy,Casual,Indie,Board Game,Singleplayer,Multiplayer","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Steam Leaderboards,Steam Turn Notifications","Casual,Indie,Strategy"
Parcel,Polar Bunny Ltd,"Polar Bunny Ltd,Polar Bunny Ltd","Indie,Puzzle,Sci-fi,Futuristic,Atmospheric,Sokoban,Strategy,Adventure,Cute,Early Access","Single-player,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Adventure,Indie,Strategy"
RefleX,SITER SKAIN,"Nyu Media,Nyu Media","Shoot 'Em Up,Indie,Action,Bullet Hell,Shooter,Arcade,Great Soundtrack,Epic,Singleplayer","Single-player,Steam Trading Cards,Partial Controller Support","Action,Indie"
Tiny Barbarian DX,StarQuail Games,"Nicalis, Inc,Nicalis, Inc","Action,Adventure,Platformer,Retro,Pixel Graphics,Singleplayer,Indie,Great Soundtrack,Fantasy,2D","Single-player,Multi-player,Local Multi-Player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure"
Wizardry 7: Crusaders of the Dark Savant,Sir-Tech,"Gamepot, Inc.,Nightdive Studios,Gamepot, Inc.,Nightdive Studios","RPG,Classic,Adventure,Dungeon Crawler,Grid-Based Movement,Turn-Based,Party-Based RPG,Turn-Based Combat,First-Person,Fantasy,Old School,CRPG,Singleplayer",Single-player,"Adventure,RPG"
Lumino City,State of Play Games,"State of Play Games ,State of Play Games ","Indie,Adventure,Point & Click,Casual,Puzzle,Female Protagonist,Cute,Hand-drawn,Great Soundtrack,Singleplayer,Atmospheric,Family Friendly,Funny,2D,Relaxing,Third Person,Hidden Object,Minimalist,Story Rich,Cartoon",Single-player,"Adventure,Casual,Indie"
Geneforge 1,Spiderweb Software,"Spiderweb Software,Spiderweb Software","RPG,Indie,Isometric,Strategy,Turn-Based Combat,Fantasy,Turn-Based,Old School,Story Rich,Singleplayer,CRPG",Single-player,"Strategy,RPG,Indie"
Hitogata Happa,Platine Dispositif,"Rockin' Android,Rockin' Android","Bullet Hell,Shoot 'Em Up,Indie,Anime,Action,Female Protagonist,Shooter,Arcade","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Indie"
Gundemonium Recollection,Platine Dispositif,"Rockin' Android,Rockin' Android","Bullet Hell,Shoot 'Em Up,Anime,Indie,Action,2D,Female Protagonist,Shooter,Arcade,Great Soundtrack","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Indie"
Worms,Team17 Digital Ltd,"Team17 Digital Ltd,Team17 Digital Ltd","Strategy,Classic,Turn-Based Strategy,Multiplayer,2D,Action,Retro,Singleplayer,Turn-Based,Arcade,Pixel Graphics,Funny,1990's",Single-player,Strategy
Rising Angels: Reborn,IDHAS Studios,"Sekai Project,Sekai Project","Visual Novel,Free to Play,Anime,Indie,Adventure,Female Protagonist,Simulation,Casual,Sci-fi,Mature,Nudity,Romance,Singleplayer,RPG",Single-player,"Adventure,Casual,Free to Play,Indie,Simulation"
Sigils of Elohim,Croteam,"Devolver Digital,Devolver Digital","Free to Play,Puzzle,Casual,Indie,Strategy,Singleplayer,Great Soundtrack",Single-player,"Casual,Free to Play,Indie,Strategy"
Farming Simulator 15 - ITRunner,Giants Software,"Giants Software,Giants Software","Simulation,Multiplayer","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Profile Features Limited 
									",Simulation
Shan Gui OST,"Magenta Factory,过路乐师A","Magenta Factory,橘彩 (Ju Cai),Magenta Factory,橘彩 (Ju Cai)",Music,"Downloadable Content,Profile Features Limited 
									",
Time Mysteries 3: The Final Enigma,Artifex Mundi,"Artifex Mundi,Artifex Mundi","Hidden Object,Adventure,Female Protagonist,Point & Click,Casual,Time Travel,Puzzle,Singleplayer,Mystery,Fantasy,Horror,Family Friendly,Story Rich,Indie,Great Soundtrack,2D,Atmospheric,Cartoony","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual"
Depths of Peril,Soldak Entertainment,"Soldak Entertainment,Soldak Entertainment","RPG,Strategy,Indie,Action RPG,Singleplayer",Single-player,"Indie,RPG,Strategy"
Crazy Machines,Fakt Software,"Viva Media,Viva Media","Casual,Puzzle,Strategy,Physics",Single-player,"Casual,Strategy"
Penguins Arena: Sedna's World,Frogames,"Frogames,Frogames","Action,Casual,Indie,Multiplayer,FPS,Great Soundtrack,Family Friendly,Shooter,First-Person,Memes","Single-player,Multi-player,Online Multi-Player,Steam Trading Cards","Action,Casual,Indie"
COIL,Edmund McMillen and Florian Himsl,,"Indie,Casual,Free to Play","Single-player,Game demo","Casual,Indie"
Cogs,Lazy 8 Studios,,"Puzzle,Indie,Casual,Singleplayer,Steampunk,Family Friendly,Difficult,3D","Single-player,Steam Achievements","Indie,Casual"
Zeno Clash,ACE Team,"ACE Team,ACE Team","Action,Indie,Surreal,Beat 'em up,Fighting,FPS,First-Person,Short,Singleplayer,Adventure,Fantasy,Beautiful,Atmospheric,Epic,Story Rich,Masterpiece","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Indie"
Yosumin!™,Square Enix,"Square Enix,Square Enix","Casual,Puzzle,Cute",Single-player,Casual
Spectromancer,"Apus Software,Three Donkeys LLC","Three Donkeys LLC,Three Donkeys LLC","Strategy,Card Game","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Cross-Platform Multiplayer,Steam Achievements",Strategy
Multiwinia,Introversion Software,"Introversion Software,Introversion Software","Indie,RTS,Strategy,Multiplayer,Singleplayer,Retro","Single-player,Multi-player,Steam Achievements",Indie
Peggle Extreme,"PopCap Games, Inc.","PopCap Games, Inc.,PopCap Games, Inc.","Casual,Puzzle,Free to Play,Action,Arcade",Single-player,Casual
BRAINPIPE: A Plunge to Unhumanity,Digital Eel,"Digital Eel,Digital Eel","Casual,Indie,Psychedelic","Single-player,Partial Controller Support","Casual,Indie"
Supreme Ruler 2020 Gold,BattleGoat Studios,"BattleGoat Studios,BattleGoat Studios","Strategy,Grand Strategy,Politics,Simulation","Single-player,Multi-player",Strategy
Ballpoint Universe - Infinite,Arachnid Games,"Arachnid Games,Arachnid Games","Indie,Action,Shoot 'Em Up,Hand-drawn,Platformer,Side Scroller,Singleplayer,Shooter","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards","Action,Indie"
Avoid - Sensory Overload,48h Studio,"Strategy First,Strategy First","Action,Indie,Arcade,Music","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards","Action,Indie"
Strata,Graveck,"GLITCH,GLITCH","Casual,Puzzle,Strategy,Indie,Relaxing","Single-player,Steam Achievements,Steam Cloud","Casual,Indie,Strategy"
9 Clues: The Secret of Serpent Creek,Tap It Games,"Artifex Mundi,Artifex Mundi","Hidden Object,Adventure,Point & Click,Casual,Puzzle,Female Protagonist,Mystery,Singleplayer,Horror,2D,Fantasy,Detective,Indie,Atmospheric,Great Soundtrack,Story Rich,Family Friendly","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual"
Tropico 5 - Espionage,Haemimont Games,"Kalypso Media Digital,Kalypso Media Digital","Strategy,RPG,Simulation","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","RPG,Simulation,Strategy"
Dark Arcana: The Carnival,Artifex Mundi,"Artifex Mundi,Artifex Mundi","Hidden Object,Adventure,Casual,Female Protagonist,Point & Click,Puzzle,Mystery,Horror,Fantasy,Atmospheric,Singleplayer,Indie,Story Rich,2D,Family Friendly,Great Soundtrack","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual"
"7,62 High Calibre",Apeiron,"1C Entertainment,1C Entertainment","Strategy,RPG,Simulation,Tactical,Real-Time with Pause,Singleplayer","Single-player,Steam Trading Cards,Steam Cloud","RPG,Simulation,Strategy"
Faces of War,Best Way,"1C Entertainment,1C Entertainment","Strategy,World War II,Action,Simulation,RTS,Multiplayer,War,Masterpiece,Co-op","Single-player,Multi-player,Steam Cloud,Includes level editor","Action,Simulation,Strategy"
A.I.M.2 Clan Wars,SkyRiver Studios,"1C Entertainment,1C Entertainment","RPG,Simulation,Action,Masterpiece,Sci-fi,Open World,Singleplayer,Atmospheric,First-Person,FPS","Single-player,Steam Cloud","Action,RPG,Simulation"
Bloodsports.TV,"Toadman Interactive,Fatshark","Fatshark,Fatshark","Action,Indie,Strategy,Co-op,MOBA","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy"
Sid Meier's Covert Action (Classic),"MicroProse Software, Inc","Retroism,Nightdive Studios,Retroism,Nightdive Studios","Simulation,Adventure,Classic,Pixel Graphics",Single-player,"Adventure,Simulation"
Letter Quest: Grimm's Journey,Bacon Bandit Games,"Digerati,Digerati","Casual,Indie,Word Game,Puzzle,Touch-Friendly,Singleplayer,RPG,Spelling","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Casual,Indie"
Morphopolis,"Dan  Walters,Ceri Williams","Dan  Walters,Dan  Walters","Puzzle,Indie,Hidden Object,Point & Click,Casual,Adventure,Colorful,Short,Singleplayer,Psychedelic,Great Soundtrack,Nature,Atmospheric,Relaxing,2D,Family Friendly,Exploration,Difficult,Fantasy,Classic","Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Indie"
Boid,Mokus,"tinyBuild,tinyBuild","Free to Play,Strategy,Indie,Action,Casual,RTS,Multiplayer","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Stats,Includes level editor","Action,Casual,Free to Play,Indie,Strategy"
Zen of Sudoku,Unknown Worlds Entertainment,"Unknown Worlds Entertainment,Unknown Worlds Entertainment","Casual,Indie,Puzzle",Single-player,"Casual,Indie"
The Cat and the Coup,Peter Brinson and Kurosh ValaNejad,"Peter Brinson and Kurosh ValaNejad,Peter Brinson and Kurosh ValaNejad","Indie,Free to Play,Cats,Historical,Puzzle,Short,Singleplayer","Single-player,Partial Controller Support","Free to Play,Indie"
Intergalactic Bubbles,Hellscape Games,"Hellscape Games,Hellscape Games","Casual,Indie,Puzzle,Singleplayer,Arcade,Shoot 'Em Up,Family Friendly,Match 3,Space,Retro,Anime,Strategy,Sci-fi","Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie"
Subspace Continuum,"Virgin Interactive Entertainment,PriitK","Subspace Continuum,Subspace Continuum","Free to Play,Massively Multiplayer,Action,Casual,Space,Multiplayer,2D","Online Multi-Player,MMO,Cross-Platform Multiplayer,Partial Controller Support,Stats","Action,Casual,Free to Play,Massively Multiplayer"
Port of Call,Underdog Games,"Underdog Games,Underdog Games","Indie,Adventure,Free to Play,Experimental,Short,Horror,Atmospheric,First-Person,Walking Simulator,Singleplayer,Psychological Horror","Single-player,Steam Achievements,Partial Controller Support","Adventure,Indie"
Lilly and Sasha: Curse of the Immortals,John Wizard,"John Wizard,John Wizard","RPG,Indie,RPGMaker,Strategy,Female Protagonist","Single-player,Steam Trading Cards","Indie,RPG,Strategy"
12 Labours of Hercules II: The Cretan Bull,"Jetdogs Studios,Zoom Out Games","Jetdogs Studios,Jetdogs Studios","Casual,Strategy,Time Management,Singleplayer,Mythology,Resource Management,Puzzle,2D,Indie,Point & Click","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Casual,Strategy"
404Sight,Retro Yeti Games,"Retro Yeti Games,Retro Yeti Games","Parkour,Free to Play,Indie,Action,Female Protagonist,Great Soundtrack,Third Person,Singleplayer,Runner,First-Person,Cyberpunk,Multiplayer","Single-player,Steam Achievements,Partial Controller Support","Action,Indie"
Max Gentlemen,The Men Who Wear Many Hats,"The Men Who Wear Many Hats,The Men Who Wear Many Hats","Free to Play,Indie,Casual,Funny,Multiplayer,2D,Local Co-Op,Local Multiplayer,Singleplayer","Single-player,Cross-Platform Multiplayer,Full controller support","Casual,Free to Play,Indie"
Tetrobot and Co.,Swing Swing Submarine,"Swing Swing Submarine,Swing Swing Submarine","Puzzle,Indie,Casual,Robots,Difficult,Puzzle-Platformer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Casual,Indie"
Realms of the Haunting,Gremlin Interactive,"Funbox Media Ltd,Funbox Media Ltd","Action,Horror,FMV,First-Person,Adventure,FPS,Retro,Classic,Point & Click,1990's,Singleplayer,Shooter",Single-player,Action
Battle Academy,Slitherine Ltd.,"Slitherine Ltd.,Slitherine Ltd.","Strategy,World War II,Turn-Based Strategy,Turn-Based,Wargame,Singleplayer,Multiplayer,Replay Value","Single-player,Multi-player,Cross-Platform Multiplayer,Includes level editor",Strategy
Labyrinthine Dreams,Solest Games,"Degica,Degica","Indie,RPGMaker,Adventure,Casual,Female Protagonist,Puzzle,Short,Singleplayer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Adventure,Casual,Indie"
ShootMania Storm,Nadeo,"Ubisoft,Ubisoft","Action,FPS,Multiplayer,Level Editor,Moddable,Shooter,Fast-Paced,Competitive,Arena Shooter,Co-op,e-sports","Multi-player,Steam Workshop,Partial Controller Support,Includes level editor",Action
rymdkapsel,grapefrukt games,"grapefrukt games,grapefrukt games","Strategy,Indie,Singleplayer,Resource Management,Space,Casual,Tower Defense,RTS,Minimalist,Sci-fi","Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards","Indie,Strategy"
Fortress Forever,"Fortress Forever Development Team,Trepid Studios","Fortress Forever,Fortress Forever","Free to Play,Action,FPS,Indie,Multiplayer,Mod,First-Person,Team-Based,Class-Based,Shooter,Fast-Paced,Remake,Classic","Multi-player,Includes level editor,Includes Source SDK","Action,Free to Play,Indie"
Dominique Pamplemousse,Squinkifer Productions,"Squinkifer Productions,Squinkifer Productions","Casual,Indie,Adventure,Point & Click,Psychological Horror,Music,Funny,Detective,Comedy,Short","Single-player,Steam Trading Cards,Captions available","Adventure,Indie"
Nethergate: Resurrection,Spiderweb Software,"Spiderweb Software,Spiderweb Software","RPG,Indie,Strategy,Turn-Based,Fantasy,Isometric,CRPG",Single-player,"Strategy,RPG,Indie"
Gateways,Smudged Cat Games Ltd,"Smudged Cat Games Ltd,Smudged Cat Games Ltd","Indie,Puzzle,Platformer,Metroidvania,Sci-fi,Time Manipulation,Singleplayer,Puzzle-Platformer,2D,Pixel Graphics","Single-player,Steam Achievements,Full controller support",Indie
Critical Mass,Manic Game Studios,"Manic Game Studios,Manic Game Studios","Casual,Indie,Puzzle,Singleplayer,Match 3","Single-player,Steam Achievements","Casual,Indie"
Zen Bound 2,Secret Exit Ltd.,"Secret Exit Ltd.,Secret Exit Ltd.","Puzzle,Casual,Indie,Relaxing,Singleplayer,3D","Single-player,Steam Achievements,Steam Cloud","Indie,Casual"
Farming Simulator 2011,Giants Software,"Giants Software,Giants Software","Simulation,Agriculture,Multiplayer,Open World,Singleplayer","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Partial Controller Support",Simulation
Nimbus,Noumenon Games,"Noumenon Games,Noumenon Games","Indie,Racing,Puzzle,Physics,Difficult,Time Attack,Platformer","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Indie,Racing"
Faerie Solitaire,Subsoap,"Subsoap,Subsoap","Card Game,Casual,Indie,Solitaire,Puzzle,Singleplayer,Fantasy,Mouse only,Family Friendly,Addictive,2D,Cute,Touch-Friendly,Relaxing","Single-player,Steam Achievements,Steam Trading Cards","Casual,Indie"
Mainland,"Vasily Voronkov,Ryan Joseph,Peter Kosyh","INSTEAD Community,INSTEAD Community","Free to Play,Adventure,Indie,Interactive Fiction,Text-Based",Single-player,"Adventure,Free to Play,Indie"
Fine Sweeper,Pixel Prophecy,"Pixel Prophecy,Pixel Prophecy","Casual,Indie,Puzzle","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Casual,Indie"
Hollywood Visionary,Choice of Games,"Choice of Games,Choice of Games","RPG,Indie,Choose Your Own Adventure,Text-Based,Choices Matter","Single-player,Steam Achievements,Captions available,Steam Cloud","Indie,RPG"
Aces Wild: Manic Brawling Action!,"Culture Attack Studio,Tyler Doak","Culture Attack Studio,Culture Attack Studio","Action,Indie,Beat 'em up,Great Soundtrack,Local Co-Op,Controller,Anime,Spectacle fighter,Character Action Game,Hack and Slash,Bullet Hell,Fighting","Single-player,Shared/Split Screen,Partial Controller Support","Action,Indie"
Last Dream,White Giant RPG Studios,"White Giant RPG Studios,White Giant RPG Studios","RPG,Indie,RPGMaker,JRPG,Turn-Based,Puzzle,Pixel Graphics,Singleplayer,Classic","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Indie,RPG"
Tower of Guns,Terrible Posture Games,"Terrible Posture Games LLC,Terrible Posture Games LLC","FPS,Rogue-like,Indie,Action,Bullet Hell,Rogue-lite,Shooter,Singleplayer,First-Person,Perma Death,Procedural Generation,Fast-Paced,Replay Value,Difficult,Steampunk,Great Soundtrack,Tower Defense","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Indie"
The Journey Down: Chapter One,SkyGoblin,"SkyGoblin,SkyGoblin","Adventure,Point & Click,Indie,Comedy,Episodic,Great Soundtrack,Retro,Puzzle,Funny,Singleplayer,Story Rich,Noir,Atmospheric,Hand-drawn,2D,Classic,Casual,Short,Surreal,Colorful","Single-player,Steam Trading Cards","Adventure,Indie"
Arma 2: British Armed Forces,Bohemia Interactive,"Bohemia Interactive,Bohemia Interactive","Simulation,Action,Strategy,Tactical,Realistic,FPS,Military,Sandbox","Single-player,Multi-player,Co-op,Downloadable Content,Partial Controller Support","Action,Simulation,Strategy"
Fortix 2,Nemesys Games,"Nemesys Games,Nemesys Games","Indie,Casual,Puzzle,Singleplayer,Arcade,Action,Strategy,2D","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Casual,Indie"
The Next BIG Thing,Pendulo Studios,"Focus Home Interactive,1C-SoftClub,Focus Home Interactive,1C-SoftClub","Adventure,Point & Click,Comedy,Mystery,Masterpiece,Singleplayer,Funny,Puzzle,Story Rich",Single-player,Adventure
Cargo! The Quest for Gravity,Ice-Pick Lodge,"Ice-Pick Lodge,bitComposer Games,Viva Media,Nordic Games,Ice-Pick Lodge,bitComposer Games,Viva Media,Nordic Games","Adventure,Action,Physics,Sandbox,Simulation,Surreal,Female Protagonist,Singleplayer","Single-player,Steam Achievements,Steam Leaderboards","Action,Adventure,Simulation"
YOU DON’T KNOW JACK®,Jellyvision,"Nordic Games,Nordic Games","Casual,Comedy,Local Multiplayer","Single-player,Shared/Split Screen,Steam Achievements",Casual
CreaVures,Muse Games,"Muse Games,Muse Games","Indie,Platformer,Puzzle,Atmospheric","Single-player,Steam Achievements,Partial Controller Support",Indie
Greed Corp,Vanguard Games,"Vanguard Entertainment Group,Vanguard Entertainment Group","Strategy,Turn-Based,Multiplayer,Turn-Based Strategy,Singleplayer,Puzzle,Local Multiplayer,Hex Grid,Board Game","Single-player,Multi-player,Steam Achievements,Steam Cloud,Steam Leaderboards",Strategy
RUSH,Two Tribes,"Two Tribes Publishing,Two Tribes Publishing","Puzzle,Indie,Casual,Singleplayer,Strategy,Abstract,Colorful","Single-player,Steam Achievements,Steam Cloud","Casual,Indie,Strategy"
Mr. Robot,Moonpod,"Moonpod,Moonpod","Indie,Strategy,Action,Puzzle,Sci-fi,Robots,Isometric","Single-player,Steam Achievements","Action,Indie,Strategy"
Ubinota,Rotateam,"Plug In Digital,Plug In Digital","Indie,Puzzle,Physics","Single-player,Steam Achievements",Indie
Choice of the Deathless,Choice of Games,"Choice of Games,Choice of Games","Choose Your Own Adventure,Indie,RPG,Text-Based,Interactive Fiction,Female Protagonist","Single-player,Steam Achievements,Captions available,Steam Cloud","Indie,RPG"
The Collider,Shortbreak Studios s.c.,"Shortbreak Studios s.c.,Shortbreak Studios s.c.","Casual,Racing,Fast-Paced,Indie,Arcade","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards","Casual,Racing"
Rexaura,Benjamin Bryant,"Benjamin Bryant,Benjamin Bryant","Free to Play,Indie,Action,Mod,Puzzle,First-Person,Difficult,Singleplayer","Single-player,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud","Action,Free to Play,Indie"
